Date	Attack	Death
19-Aug-1854	1	1
20-Aug-1854	1	0
21-Aug-1854	1	2
22-Aug-1854	0	0
23-Aug-1854	1	0
24-Aug-1854	1	2
25-Aug-1854	0	0
26-Aug-1854	1	0
27-Aug-1854	1	1
28-Aug-1854	1	0
29-Aug-1854	1	1
30-Aug-1854	8	2
31-Aug-1854	56	3
1-Sep-1854	143	70
2-Sep-1854	116	127
3-Sep-1854	54	76
4-Sep-1854	46	71
5-Sep-1854	36	45
6-Sep-1854	20	37
7-Sep-1854	28	32
8-Sep-1854	12	30
9-Sep-1854	11	24
10-Sep-1854	5	18
11-Sep-1854	5	15
12-Sep-1854	1	6
13-Sep-1854	3	13
14-Sep-1854	0	6
15-Sep-1854	1	8
16-Sep-1854	4	6
17-Sep-1854	2	5
18-Sep-1854	3	2
19-Sep-1854	0	3
20-Sep-1854	0	0
21-Sep-1854	2	0
22-Sep-1854	1	2
23-Sep-1854	1	3
24-Sep-1854	1	0
25-Sep-1854	1	0
26-Sep-1854	1	2
27-Sep-1854	1	0
28-Sep-1854	0	2
29-Sep-1854	0	1
